,_id,id_amat,nome,linee,LONG_X_4326,LAT_Y_4326,Location
count,130.0,130.0,130,130,130.0,130.0,130
unique,,,130,9,,,130
top,,,BOLIVAR,1,,,"(45.4553190010346, 9.15314900789545)"
freq,,,1,37,,,1
mean,65.5,933.876923076923,,,9.198914689419949,45.48150280547956,
std,37.67182855485869,38.08110792974421,,,0.06426208036136508,0.028879574775722425,
min,1.0,869.0,,,9.08580670792978,45.4017485010472,
25%,33.25,901.25,,,9.160320307893208,45.461672176038,
50%,65.5,933.5,,,9.19042973605989,45.47864279286085,
75%,97.75,966.75,,,9.223286832867368,45.50150852603625,
max,130.0,999.0,,,9.43662513013157,45.5452872312833,
